unix_timestamp,x,y,z
1787581207.7508137,0.98083,-0.0334,0.0
1787581208.7727022,0.99126,-0.0384,0.0
1787581209.7984366,0.9798,-0.02911,0.0
1787581210.7099285,0.99109,0.24978,0.0
1787581211.7299044,0.98354,0.77419,0.0
1787581212.7840173,0.968,0.87551,0.0
1787581213.8312054,0.97377,0.83119,0.0
1787581214.9212403,0.96886,0.81844,0.0
1787581215.8690794,0.95027,0.7737,0.0
1787581235.413099,0.0,0.0,0.0
1787581236.4086132,9e-05,1e-05,0.0
1787581237.435292,-0.00091,0.00016,0.0
1787581238.443913,-0.00069,9e-05,0.0
1787581239.447642,-0.00084,9e-05,0.0
1787581240.5105755,0.0003,-0.00091,0.0
1787581241.5445642,-0.00055,-5e-05,0.0
1787581242.4898174,-0.00072,-0.00114,0.0
1787581243.592366,0.0027,-0.00176,0.0
1787581244.5308108,0.30459,0.01987,0.0
1787581245.6346042,0.80567,0.03608,0.0
1787581246.5788128,0.84132,0.02896,0.0
1787581247.6823273,0.83761,0.0348,0.0
1787581248.6550217,0.83977,0.04447,0.0
1787581249.648138,0.88993,0.56421,0.0
1787581250.6310322,0.92482,0.82508,0.0
1787581251.6894987,0.92558,0.82947,0.0
1787581252.7280018,0.92701,0.82997,0.0
1787581253.738817,0.92623,0.83032,0.0
1787581285.774868,0.0,0.0,0.0
1787581286.7624726,-2e-05,5e-05,0.0
1787581287.82378,0.002,-0.00074,0.0
1787581288.8496714,0.00158,-0.00046,0.0
1787581289.8648238,0.00157,-0.00042,0.0
1787581290.8996656,0.00155,-0.00045,0.0
1787581291.9204562,0.00101,-0.00044,0.0
1787581292.935706,0.00106,-0.00062,0.0
1787581293.9680185,0.00143,-0.00058,0.0
1787581294.9610484,0.15869,-0.01774,0.0
1787581296.0006502,0.67779,-0.08586,0.0
1787581297.0411522,0.83481,-0.0895,0.0
1787581298.0717366,0.8404,-0.0858,0.0
1787581299.0729756,0.83241,-0.08965,0.0
1787581300.0706599,0.83443,0.32557,0.0
1787581301.133056,0.84145,0.76736,0.0
1787581302.1623933,0.84258,0.76104,0.0
1787581303.1733534,0.84354,0.7593,0.0
1787581304.1226118,0.84382,0.76082,0.0
1787581325.0068707,0.0,0.0,0.0
1787581325.9922621,-2e-05,-6e-05,0.0
1787581326.94212,-2e-05,4e-05,0.0
1787581327.9595346,-6e-05,4e-05,0.0
1787581328.9887543,-5e-05,8e-05,0.0
1787581330.1097414,-7e-05,3e-05,0.0
1787581331.0399241,0.0004,0.00064,0.0
1787581332.0024228,-0.00122,0.00066,0.0
1787581333.0062878,-0.00166,0.00059,0.0
1787581334.0534093,0.21122,-0.00892,0.0
1787581335.0467818,0.69455,-0.08125,0.0
1787581336.112042,0.81275,-0.09187,0.0
1787581337.0796833,0.81255,-0.09009,0.0
1787581338.1509013,0.8113,-0.09425,0.0
1787581339.15631,0.87595,0.36271,0.0
1787581340.1633344,0.93797,0.86923,0.0
1787581341.1871133,0.93612,0.84297,0.0
1787581342.301411,0.93739,0.83781,0.0
1787581343.2452376,0.93553,0.83113,0.0
1787581363.9443614,0.0,0.0,0.0
1787581364.9466326,2e-05,9e-05,0.0
1787581365.950973,0.00073,-7e-05,0.0
1787581366.9675434,0.00069,5e-05,0.0
